ID,Activity_Name,Expected_Start_Date,Contractor_Name,Region,Complexity_Level
300,تأسيس السباكة والكهرباء,2022-05-10,شركة أرامكو السعودية (إشراف/تنفيذ),المدينة المنورة,High
301,أعمال العزل المائي للسطح,2024-01-15,شركة دريك آند سكل,الرياض,Medium
302,أعمال التكييف المركزي,2024-04-09,شركة البحر الأحمر الدولية,الباحة,High
303,أعمال الحفر والردم,2022-01-28,شركة جرير للمقاولات,الرياض,Low
304,تبليط الحوش والأسوار,2024-08-04,شركة شابورجي بالونجي,جازان,High
305,تركيب الأدوات الصحية,2024-06-13,شركة أرامكو السعودية (إشراف/تنفيذ),تبوك,Low
306,صب الخرسانة المسلحة للقواعد,2022-10-10,مؤسسة بن سمار للمقاولات,الجوف,Medium
307,أعمال العزل المائي للسطح,2024-10-29,شركة المباني,القصيم,High
308,بناء جدران القبو,2022-08-25,شركة المباني,تبوك,Medium
309,تركيب المصاعد,2023-10-05,شركة شابورجي بالونجي,جازان,High
310,تركيب البلاط والرخام,2022-01-24,مجموعة بن لادن السعودية,مكة المكرمة,Low
311,صب أعمدة الدور الأرضي,2023-04-01,شركة المباني,المدينة المنورة,High
312,الدهانات النهائية,2024-04-19,شركة الخضري للمقاولات,تبوك,Medium
313,أعمال العزل المائي للسطح,2023-06-19,شركة المباني,الجوف,High
314,تركيب أنظمة الحريق,2023-12-17,مجموعة بن لادن السعودية,الباحة,High
315,صب الخرسانة المسلحة للقواعد,2023-04-05,شركة الفنار,تبوك,Medium
316,تركيب أنظمة الحريق,2024-02-29,شركة الكفاح للمقاولات,الحدود الشمالية,Low
317,عزل القواعد والرقاب,2024-01-04,شركة أرامكو السعودية (إشراف/تنفيذ),المدينة المنورة,Low
318,بناء جدران القبو,2022-01-25,شركة الكفاح للمقاولات,الباحة,Medium
319,تركيب الواجهات الزجاجية,2023-03-28,شركة روشن العقارية,القصيم,Medium
320,تأسيس السباكة والكهرباء,2024-01-07,شركة نسما للمقاولات,حائل,Low
321,أعمال العزل المائي للسطح,2023-10-20,شركة شابورجي بالونجي,مكة المكرمة,High
322,تأسيس السباكة والكهرباء,2022-01-26,شركة الخضري للمقاولات,نجران,High
323,تركيب الأدوات الصحية,2023-08-19,شركة العيوني للاستثمار والمقاولات,تبوك,High
324,تركيب المصاعد,2024-03-30,شركة الفوزان للتجارة والمقاولات,عسير,Medium
325,تبليط الحوش والأسوار,2022-08-25,شركة البحر الأحمر الدولية,المنطقة الشرقية,Low
326,أعمال الحفر والردم,2024-07-25,شركة الفوزان للتجارة والمقاولات,نجران,High
327,تركيب المصاعد,2024-12-05,شركة الفنار,مكة المكرمة,Medium
328,تبليط الحوش والأسوار,2022-04-07,شركة السيف للمقاولات الهندسية,مكة المكرمة,Low
329,تركيب أنظمة الحريق,2022-06-13,شركة البحر الأحمر الدولية,الحدود الشمالية,Low
330,اللياسة الداخلية,2022-06-01,شركة السيف للمقاولات الهندسية,المنطقة الشرقية,High
331,صب أعمدة الدور الأرضي,2024-09-29,مؤسسة بن سمار للمقاولات,المنطقة الشرقية,Medium
332,بناء جدران القبو,2022-09-22,شركة الفوزان للتجارة والمقاولات,نجران,Medium
333,بناء جدران القبو,2022-04-07,شركة البحر الأحمر الدولية,المدينة المنورة,Medium
334,عزل القواعد والرقاب,2022-04-30,شركة دريك آند سكل,الجوف,High
335,صب أعمدة الدور الأرضي,2023-05-06,شركة المباني,عسير,Medium
336,صب الخرسانة العادية للأساسات,2024-01-14,شركة البحر الأحمر الدولية,الحدود الشمالية,High
337,تركيب الواجهات الزجاجية,2024-04-15,شركة دريك آند سكل,عسير,Medium
338,تبليط الحوش والأسوار,2024-09-22,شركة الفنار,الرياض,Low
339,تركيب البلاط والرخام,2022-03-19,شركة المقاولون العرب,تبوك,Medium
340,صب أعمدة الدور الأرضي,2023-04-01,شركة دريك آند سكل,مكة المكرمة,Medium
341,تركيب النوافذ والأبواب,2024-07-13,شركة الكفاح للمقاولات,مكة المكرمة,High
342,أعمال الديكور والجبس,2022-04-04,شركة السيف للمقاولات الهندسية,الجوف,Low
343,تركيب الواجهات الزجاجية,2024-10-12,شركة دريك آند سكل,القصيم,High
344,صب أعمدة الدور الأرضي,2024-11-12,شركة العيوني للاستثمار والمقاولات,المنطقة الشرقية,High
345,أعمال التكييف المركزي,2024-07-01,مجموعة بن لادن السعودية,حائل,High
346,صب الخرسانة المسلحة للقواعد,2023-10-19,شركة الفنار,المنطقة الشرقية,High
347,صب سقف الدور الأرضي,2022-08-03,شركة جرير للمقاولات,القصيم,Medium
348,أعمال الديكور والجبس,2022-06-02,شركة روشن العقارية,القصيم,High
349,أعمال الحفر والردم,2023-12-23,شركة جرير للمقاولات,المنطقة الشرقية,High
350,صب الخرسانة المسلحة للقواعد,2024-09-11,مؤسسة بن سمار للمقاولات,الرياض,Medium
351,تأسيس السباكة والكهرباء,2022-11-06,شركة شابورجي بالونجي,المدينة المنورة,Low
352,اللياسة الداخلية,2023-10-04,شركة جرير للمقاولات,القصيم,Low
353,اللياسة الخارجية,2024-01-07,شركة شابورجي بالونجي,تبوك,Low
354,اللياسة الخارجية,2024-01-31,شركة راشد الراشد,حائل,Medium
355,تركيب النوافذ والأبواب,2022-08-29,شركة المقاولون العرب,تبوك,High
356,أعمال اللاندسكيب والتشجير,2023-11-30,شركة العيوني للاستثمار والمقاولات,الحدود الشمالية,Medium
357,تركيب أنظمة الحريق,2024-12-16,شركة الكفاح للمقاولات,المنطقة الشرقية,Medium
358,بناء جدران القبو,2022-07-14,شركة الخضري للمقاولات,نجران,Low
359,أعمال المباني (الطوب),2022-06-15,شركة راشد الراشد,المدينة المنورة,Medium
360,أعمال العزل المائي للسطح,2024-01-31,شركة دريك آند سكل,القصيم,High
361,صب الخرسانة العادية للأساسات,2024-04-16,شركة الفوزان للتجارة والمقاولات,الرياض,High
362,تبليط الحوش والأسوار,2022-06-24,شركة جرير للمقاولات,مكة المكرمة,Medium
363,تركيب الأدوات الصحية,2022-10-23,شركة شابورجي بالونجي,القصيم,Low
364,أعمال الحفر والردم,2024-09-25,شركة السيف للمقاولات الهندسية,جازان,High
365,تركيب أنظمة الحريق,2022-08-22,شركة المباني,الباحة,Low
366,تركيب الواجهات الزجاجية,2022-02-19,شركة العيوني للاستثمار والمقاولات,القصيم,Medium
367,صب أعمدة الدور الأرضي,2023-12-20,شركة راشد الراشد,المنطقة الشرقية,High
368,صب سقف الدور الأرضي,2022-05-23,شركة الفنار,جازان,Medium
369,تبليط الحوش والأسوار,2022-02-01,شركة الكفاح للمقاولات,عسير,Low
370,عزل القواعد والرقاب,2023-03-08,شركة الخضري للمقاولات,حائل,Low
371,الدهانات النهائية,2024-11-09,شركة العيوني للاستثمار والمقاولات,الحدود الشمالية,Medium
372,صب الخرسانة المسلحة للقواعد,2022-12-02,شركة الفنار,عسير,High
373,صب أعمدة الدور الأرضي,2022-08-08,شركة البحر الأحمر الدولية,القصيم,Medium
374,صب الخرسانة المسلحة للقواعد,2024-07-11,شركة الفنار,نجران,High
375,بناء جدران القبو,2023-05-01,مؤسسة بن سمار للمقاولات,الحدود الشمالية,High
376,أعمال العزل المائي للسطح,2022-01-18,شركة البحر الأحمر الدولية,نجران,Medium
377,صب الخرسانة العادية للأساسات,2022-11-12,شركة الكفاح للمقاولات,الجوف,Medium
378,أعمال الديكور والجبس,2024-05-11,شركة نسما للمقاولات,الرياض,High
379,عزل القواعد والرقاب,2022-06-08,شركة دريك آند سكل,المدينة المنورة,Low
380,صب الخرسانة العادية للأساسات,2022-10-29,شركة المقاولون العرب,القصيم,High
381,أعمال التكييف المركزي,2023-08-28,شركة البحر الأحمر الدولية,الرياض,High
382,تركيب النوافذ والأبواب,2022-04-20,شركة راشد الراشد,الرياض,High
383,أعمال العزل المائي للسطح,2023-06-20,شركة الفوزان للتجارة والمقاولات,جازان,High
384,بناء جدران القبو,2023-09-18,شركة المقاولون العرب,الرياض,Medium
385,أعمال اللاندسكيب والتشجير,2024-12-01,شركة نسما للمقاولات,الحدود الشمالية,Medium
386,تركيب المصاعد,2024-05-20,مؤسسة بن سمار للمقاولات,المنطقة الشرقية,High
387,بناء جدران القبو,2024-04-18,مجموعة بن لادن السعودية,الرياض,High
388,تركيب المصاعد,2024-03-03,شركة دريك آند سكل,نجران,High
389,أعمال الحفر والردم,2023-08-15,شركة نسما للمقاولات,المدينة المنورة,Medium
390,اللياسة الخارجية,2024-10-16,شركة شابورجي بالونجي,الباحة,High
391,أعمال الديكور والجبس,2023-10-13,شركة العيوني للاستثمار والمقاولات,تبوك,Low
392,صب سقف الدور الأرضي,2025-01-05,شركة السيف للمقاولات الهندسية,المدينة المنورة,High
393,صب الخرسانة العادية للأساسات,2023-11-01,مجموعة بن لادن السعودية,جازان,High
394,تركيب الواجهات الزجاجية,2022-01-30,شركة نسما للمقاولات,الباحة,High
395,أعمال الحفر والردم,2024-11-01,شركة السيف للمقاولات الهندسية,الباحة,Low
396,أعمال الديكور والجبس,2022-02-21,شركة المقاولون العرب,الجوف,High
397,أعمال العزل المائي للسطح,2022-04-11,شركة دريك آند سكل,حائل,Medium
398,تركيب البلاط والرخام,2023-11-18,شركة الخضري للمقاولات,نجران,Low
399,اللياسة الداخلية,2024-02-27,شركة دريك آند سكل,نجران,High
400,تركيب المصاعد,2022-05-17,مؤسسة بن سمار للمقاولات,الباحة,High
401,تركيب النوافذ والأبواب,2022-06-30,شركة جرير للمقاولات,مكة المكرمة,High
402,عزل القواعد والرقاب,2023-09-05,شركة نسما للمقاولات,القصيم,Medium
403,أعمال العزل المائي للسطح,2022-03-21,شركة دريك آند سكل,جازان,High
404,الدهانات النهائية,2023-01-07,شركة روشن العقارية,الرياض,Medium
405,صب الخرسانة العادية للأساسات,2022-06-16,شركة جرير للمقاولات,القصيم,Medium
406,الدهانات النهائية,2024-10-07,شركة الخضري للمقاولات,الحدود الشمالية,Medium
407,تركيب الواجهات الزجاجية,2022-09-21,شركة الخضري للمقاولات,نجران,High
408,صب أعمدة الدور الأرضي,2023-01-18,شركة العيوني للاستثمار والمقاولات,حائل,Medium
409,صب سقف الدور الأرضي,2022-05-09,شركة روشن العقارية,القصيم,Medium
410,عزل القواعد والرقاب,2022-11-18,مؤسسة بن سمار للمقاولات,حائل,High
411,اللياسة الخارجية,2023-08-27,شركة دريك آند سكل,الرياض,High
412,تبليط الحوش والأسوار,2024-05-20,شركة المباني,جازان,High
413,تأسيس السباكة والكهرباء,2024-10-05,شركة الفنار,الحدود الشمالية,Low
414,تركيب الأدوات الصحية,2023-04-21,شركة أرامكو السعودية (إشراف/تنفيذ),الجوف,High
415,تركيب النوافذ والأبواب,2024-09-17,شركة الكفاح للمقاولات,المدينة المنورة,Medium
416,تركيب النوافذ والأبواب,2024-08-14,شركة نسما للمقاولات,الرياض,Medium
417,أعمال العزل المائي للسطح,2024-08-09,شركة راشد الراشد,الباحة,High
418,أعمال الديكور والجبس,2022-06-23,شركة نسما للمقاولات,القصيم,Medium
419,تركيب البلاط والرخام,2022-05-28,شركة السيف للمقاولات الهندسية,نجران,Low
420,أعمال الديكور والجبس,2024-10-09,شركة السيف للمقاولات الهندسية,جازان,High
421,اللياسة الخارجية,2024-04-23,مؤسسة بن سمار للمقاولات,تبوك,Low
422,تأسيس السباكة والكهرباء,2024-11-05,شركة روشن العقارية,مكة المكرمة,Low
423,أعمال العزل المائي للسطح,2022-06-11,شركة الكفاح للمقاولات,مكة المكرمة,Medium
424,اللياسة الخارجية,2024-01-13,شركة نسما للمقاولات,الحدود الشمالية,Medium
425,صب سقف الدور الأرضي,2023-12-01,شركة شابورجي بالونجي,نجران,Medium
426,صب الخرسانة العادية للأساسات,2024-05-17,شركة جرير للمقاولات,عسير,Medium
427,أعمال الحفر والردم,2023-04-24,شركة الكفاح للمقاولات,تبوك,Low
428,أعمال الديكور والجبس,2024-04-07,شركة المباني,حائل,High
429,تركيب الأدوات الصحية,2023-06-24,شركة الفنار,مكة المكرمة,Low
430,أعمال اللاندسكيب والتشجير,2022-12-11,شركة الفوزان للتجارة والمقاولات,حائل,Medium
431,أعمال التكييف المركزي,2024-09-02,شركة أرامكو السعودية (إشراف/تنفيذ),المنطقة الشرقية,High
432,أعمال الدهانات الأولية,2022-09-26,شركة المقاولون العرب,المدينة المنورة,Low
433,أعمال الحفر والردم,2022-09-02,شركة المقاولون العرب,حائل,Medium
434,الدهانات النهائية,2024-01-01,شركة العيوني للاستثمار والمقاولات,المنطقة الشرقية,Low
435,تركيب النوافذ والأبواب,2023-04-27,شركة الفوزان للتجارة والمقاولات,الحدود الشمالية,Medium
436,أعمال الديكور والجبس,2024-12-10,شركة أرامكو السعودية (إشراف/تنفيذ),حائل,Low
437,تركيب البلاط والرخام,2022-08-29,شركة المباني,المدينة المنورة,Medium
438,صب أعمدة الدور الأرضي,2022-08-26,شركة المقاولون العرب,القصيم,High
439,صب الخرسانة المسلحة للقواعد,2024-03-28,شركة الكفاح للمقاولات,الحدود الشمالية,High
440,اللياسة الداخلية,2023-01-10,مجموعة بن لادن السعودية,الجوف,High
441,تأسيس السباكة والكهرباء,2024-01-27,شركة المقاولون العرب,حائل,High
442,تركيب النوافذ والأبواب,2023-04-10,شركة جرير للمقاولات,جازان,Low
443,تأسيس السباكة والكهرباء,2023-04-19,شركة الكفاح للمقاولات,الحدود الشمالية,High
444,تركيب الواجهات الزجاجية,2022-08-31,شركة السيف للمقاولات الهندسية,القصيم,High
445,تركيب البلاط والرخام,2023-02-01,شركة الكفاح للمقاولات,المنطقة الشرقية,Low
446,تركيب أنظمة الحريق,2023-10-06,شركة السيف للمقاولات الهندسية,المنطقة الشرقية,Medium
447,أعمال التكييف المركزي,2024-02-23,شركة جرير للمقاولات,الرياض,Medium
448,أعمال الحفر والردم,2024-12-25,شركة الفوزان للتجارة والمقاولات,تبوك,High
449,صب الخرسانة العادية للأساسات,2022-10-31,شركة روشن العقارية,المنطقة الشرقية,High
450,تركيب أنظمة الحريق,2023-04-02,مؤسسة بن سمار للمقاولات,نجران,Medium
451,اللياسة الخارجية,2022-09-29,شركة الفوزان للتجارة والمقاولات,القصيم,Medium
452,صب الخرسانة العادية للأساسات,2024-02-23,شركة المباني,جازان,High
453,تركيب أنظمة الحريق,2024-10-05,شركة البحر الأحمر الدولية,المدينة المنورة,Low
454,تأسيس السباكة والكهرباء,2024-03-30,شركة السيف للمقاولات الهندسية,القصيم,Low
455,اللياسة الخارجية,2023-03-11,شركة الفنار,نجران,High
456,صب الخرسانة العادية للأساسات,2022-12-20,شركة الكفاح للمقاولات,عسير,Medium
457,تركيب البلاط والرخام,2024-10-28,شركة راشد الراشد,المنطقة الشرقية,Medium
458,تركيب البلاط والرخام,2024-02-01,شركة البحر الأحمر الدولية,الرياض,Low
459,أعمال الديكور والجبس,2024-11-05,شركة الخضري للمقاولات,الرياض,Medium
460,أعمال التكييف المركزي,2024-07-30,شركة السيف للمقاولات الهندسية,مكة المكرمة,Medium
461,أعمال الدهانات الأولية,2024-06-24,شركة أرامكو السعودية (إشراف/تنفيذ),الرياض,Low
462,تأسيس السباكة والكهرباء,2022-10-29,شركة السيف للمقاولات الهندسية,الرياض,High
463,تركيب المصاعد,2023-04-14,شركة الفنار,مكة المكرمة,Low
464,تبليط الحوش والأسوار,2023-05-15,شركة المباني,الباحة,Low
465,أعمال الحفر والردم,2024-01-12,مؤسسة بن سمار للمقاولات,مكة المكرمة,High
466,تركيب النوافذ والأبواب,2022-03-18,شركة الخضري للمقاولات,الباحة,High
467,تركيب أنظمة الحريق,2023-10-16,شركة روشن العقارية,تبوك,Medium
468,عزل القواعد والرقاب,2023-02-25,شركة روشن العقارية,حائل,Medium
469,أعمال الديكور والجبس,2023-06-19,شركة الفنار,نجران,Low
470,صب الخرسانة العادية للأساسات,2024-10-16,شركة جرير للمقاولات,الجوف,High
471,تركيب البلاط والرخام,2023-06-16,شركة الفنار,المنطقة الشرقية,Low
472,تركيب الواجهات الزجاجية,2023-01-17,شركة نسما للمقاولات,نجران,High
473,أعمال العزل المائي للسطح,2024-06-19,مؤسسة بن سمار للمقاولات,الباحة,Low
474,بناء جدران القبو,2023-09-05,شركة أرامكو السعودية (إشراف/تنفيذ),المدينة المنورة,Low
475,الدهانات النهائية,2023-06-16,شركة أرامكو السعودية (إشراف/تنفيذ),الحدود الشمالية,Low
476,أعمال اللاندسكيب والتشجير,2023-02-16,شركة دريك آند سكل,عسير,Medium
477,صب سقف الدور الأرضي,2022-03-12,شركة راشد الراشد,الجوف,Medium
478,تأسيس السباكة والكهرباء,2024-03-25,شركة نسما للمقاولات,نجران,Low
479,صب الخرسانة العادية للأساسات,2023-05-26,شركة جرير للمقاولات,الجوف,Medium
480,أعمال الحفر والردم,2023-07-04,شركة المقاولون العرب,المنطقة الشرقية,High
481,أعمال المباني (الطوب),2023-04-12,شركة العيوني للاستثمار والمقاولات,المدينة المنورة,Medium
482,أعمال التكييف المركزي,2024-08-21,شركة روشن العقارية,المنطقة الشرقية,High
483,أعمال التكييف المركزي,2023-01-25,شركة أرامكو السعودية (إشراف/تنفيذ),القصيم,High
484,اللياسة الخارجية,2024-07-14,شركة الفنار,نجران,Low
485,عزل القواعد والرقاب,2023-08-04,شركة الخضري للمقاولات,نجران,High
486,أعمال العزل المائي للسطح,2024-11-20,شركة الفنار,القصيم,Medium
487,أعمال الدهانات الأولية,2024-02-13,شركة المباني,الجوف,Medium
488,اللياسة الخارجية,2023-04-06,شركة المباني,حائل,Medium
489,تركيب الأدوات الصحية,2023-02-22,شركة المقاولون العرب,القصيم,High
490,أعمال العزل المائي للسطح,2024-06-15,شركة السيف للمقاولات الهندسية,حائل,Medium
491,تركيب أنظمة الحريق,2023-02-07,شركة دريك آند سكل,نجران,Medium
492,صب سقف الدور الأرضي,2022-05-24,شركة المباني,الجوف,High
493,عزل القواعد والرقاب,2022-03-26,شركة السيف للمقاولات الهندسية,تبوك,Low
494,صب الخرسانة المسلحة للقواعد,2023-06-21,شركة الخضري للمقاولات,الباحة,High
495,تركيب أنظمة الحريق,2022-03-04,شركة الخضري للمقاولات,تبوك,High
496,الدهانات النهائية,2023-10-28,شركة الكفاح للمقاولات,المنطقة الشرقية,Medium
497,صب الخرسانة العادية للأساسات,2023-06-12,شركة راشد الراشد,نجران,Medium
498,تركيب المصاعد,2022-11-27,شركة المقاولون العرب,المنطقة الشرقية,Low
499,تركيب أنظمة الحريق,2024-04-23,شركة البحر الأحمر الدولية,نجران,High
500,عزل القواعد والرقاب,2023-04-28,شركة روشن العقارية,الباحة,Medium
501,بناء جدران القبو,2024-04-16,شركة العيوني للاستثمار والمقاولات,المنطقة الشرقية,Low
502,تركيب المصاعد,2024-03-25,شركة نسما للمقاولات,الباحة,Medium
503,أعمال الحفر والردم,2023-12-13,شركة الفنار,الباحة,Medium
504,بناء جدران القبو,2024-12-26,شركة الفنار,حائل,Low
505,صب سقف الدور الأرضي,2023-08-27,شركة أرامكو السعودية (إشراف/تنفيذ),المدينة المنورة,High
506,أعمال الديكور والجبس,2024-02-16,مجموعة بن لادن السعودية,المنطقة الشرقية,Medium
507,صب سقف الدور الأرضي,2023-06-01,مؤسسة بن سمار للمقاولات,تبوك,High
508,أعمال المباني (الطوب),2024-07-24,مجموعة بن لادن السعودية,مكة المكرمة,Medium
509,أعمال العزل المائي للسطح,2023-12-30,شركة الخضري للمقاولات,المدينة المنورة,Medium
510,اللياسة الداخلية,2022-09-18,شركة الفنار,المدينة المنورة,Medium
511,أعمال اللاندسكيب والتشجير,2023-04-28,شركة المقاولون العرب,عسير,Medium
512,صب سقف الدور الأرضي,2022-01-12,شركة أرامكو السعودية (إشراف/تنفيذ),حائل,High
513,تركيب النوافذ والأبواب,2022-05-14,شركة البحر الأحمر الدولية,المدينة المنورة,High
514,بناء جدران القبو,2023-04-08,مجموعة بن لادن السعودية,الحدود الشمالية,High
515,عزل القواعد والرقاب,2023-09-03,شركة روشن العقارية,الرياض,High
516,تركيب المصاعد,2024-12-28,شركة الخضري للمقاولات,الباحة,High
517,بناء جدران القبو,2023-07-02,شركة المباني,القصيم,Low
518,أعمال المباني (الطوب),2023-04-07,شركة المباني,القصيم,Medium
519,صب أعمدة الدور الأرضي,2024-09-16,شركة شابورجي بالونجي,القصيم,Medium
520,أعمال اللاندسكيب والتشجير,2024-08-17,شركة الكفاح للمقاولات,الحدود الشمالية,High
521,تركيب الأدوات الصحية,2024-06-16,شركة أرامكو السعودية (إشراف/تنفيذ),مكة المكرمة,High
522,اللياسة الخارجية,2024-05-13,شركة دريك آند سكل,الحدود الشمالية,Medium
523,تركيب المصاعد,2023-06-20,شركة نسما للمقاولات,مكة المكرمة,High
524,تركيب الأدوات الصحية,2024-08-08,شركة الفوزان للتجارة والمقاولات,مكة المكرمة,Low
525,اللياسة الداخلية,2024-01-26,شركة شابورجي بالونجي,تبوك,High
526,صب أعمدة الدور الأرضي,2023-10-25,شركة راشد الراشد,الرياض,Medium
527,اللياسة الخارجية,2022-06-20,شركة راشد الراشد,عسير,High
528,صب الخرسانة المسلحة للقواعد,2024-09-24,شركة الكفاح للمقاولات,عسير,Medium
529,تبليط الحوش والأسوار,2023-06-06,شركة نسما للمقاولات,الباحة,Medium
530,صب الخرسانة العادية للأساسات,2024-06-05,شركة روشن العقارية,الحدود الشمالية,Medium
531,اللياسة الداخلية,2022-10-01,شركة جرير للمقاولات,الجوف,High
532,أعمال اللاندسكيب والتشجير,2022-12-15,مجموعة بن لادن السعودية,الرياض,Low
533,أعمال العزل المائي للسطح,2024-04-11,شركة جرير للمقاولات,نجران,Medium
534,عزل القواعد والرقاب,2022-06-30,شركة المباني,حائل,Low
535,تركيب النوافذ والأبواب,2023-04-06,شركة نسما للمقاولات,القصيم,High
536,تبليط الحوش والأسوار,2023-05-31,شركة السيف للمقاولات الهندسية,الباحة,High
537,تركيب الواجهات الزجاجية,2022-03-26,شركة العيوني للاستثمار والمقاولات,عسير,High
538,صب سقف الدور الأرضي,2023-02-26,شركة السيف للمقاولات الهندسية,نجران,Medium
539,تركيب الأدوات الصحية,2022-03-02,شركة راشد الراشد,المدينة المنورة,Low
540,تأسيس السباكة والكهرباء,2022-01-16,شركة دريك آند سكل,الحدود الشمالية,Low
541,أعمال التكييف المركزي,2023-03-06,شركة المقاولون العرب,الرياض,Medium
542,أعمال اللاندسكيب والتشجير,2022-06-18,مجموعة بن لادن السعودية,نجران,Low
543,تركيب النوافذ والأبواب,2023-08-05,شركة العيوني للاستثمار والمقاولات,الباحة,Medium
544,اللياسة الخارجية,2023-02-28,شركة الكفاح للمقاولات,المدينة المنورة,Medium
545,تأسيس السباكة والكهرباء,2023-05-11,مجموعة بن لادن السعودية,عسير,High
546,أعمال التكييف المركزي,2024-09-21,شركة نسما للمقاولات,تبوك,High
547,تركيب البلاط والرخام,2024-10-14,شركة الفوزان للتجارة والمقاولات,المدينة المنورة,Low
548,تركيب الأدوات الصحية,2024-05-15,شركة دريك آند سكل,الرياض,Medium
549,تبليط الحوش والأسوار,2022-04-24,شركة الكفاح للمقاولات,الرياض,High
550,صب الخرسانة المسلحة للقواعد,2024-09-14,شركة البحر الأحمر الدولية,الحدود الشمالية,Medium
551,تبليط الحوش والأسوار,2024-05-22,مجموعة بن لادن السعودية,تبوك,Low
552,أعمال التكييف المركزي,2022-02-16,شركة راشد الراشد,الباحة,High
553,صب سقف الدور الأرضي,2023-10-01,شركة روشن العقارية,نجران,High
554,تركيب البلاط والرخام,2023-01-18,شركة راشد الراشد,تبوك,Medium
555,عزل القواعد والرقاب,2022-01-19,شركة نسما للمقاولات,الرياض,Medium
556,أعمال اللاندسكيب والتشجير,2024-07-16,شركة روشن العقارية,جازان,High
557,صب الخرسانة العادية للأساسات,2024-11-09,شركة الفنار,الحدود الشمالية,Medium
558,صب الخرسانة المسلحة للقواعد,2022-09-02,شركة روشن العقارية,القصيم,Medium
559,تأسيس السباكة والكهرباء,2022-09-14,مجموعة بن لادن السعودية,الرياض,Medium
560,أعمال المباني (الطوب),2022-12-29,شركة البحر الأحمر الدولية,عسير,Low
561,أعمال الحفر والردم,2023-02-02,شركة الفنار,حائل,Low
562,تركيب النوافذ والأبواب,2023-07-21,شركة شابورجي بالونجي,الحدود الشمالية,Medium
563,تبليط الحوش والأسوار,2022-10-29,شركة المقاولون العرب,المنطقة الشرقية,Low
564,تبليط الحوش والأسوار,2024-02-10,شركة السيف للمقاولات الهندسية,حائل,Low
565,تركيب النوافذ والأبواب,2022-02-03,شركة راشد الراشد,المدينة المنورة,Medium
566,صب الخرسانة المسلحة للقواعد,2022-07-04,شركة الكفاح للمقاولات,الجوف,High
567,الدهانات النهائية,2023-04-28,شركة أرامكو السعودية (إشراف/تنفيذ),الباحة,Medium
568,أعمال الدهانات الأولية,2023-03-19,شركة شابورجي بالونجي,مكة المكرمة,Medium
569,عزل القواعد والرقاب,2023-08-07,شركة البحر الأحمر الدولية,تبوك,Medium
570,تركيب الأدوات الصحية,2023-02-16,شركة راشد الراشد,تبوك,Medium
571,تركيب المصاعد,2023-05-09,شركة البحر الأحمر الدولية,المنطقة الشرقية,High
572,اللياسة الداخلية,2022-01-18,شركة الفنار,الحدود الشمالية,Low
573,أعمال الديكور والجبس,2023-11-10,شركة المقاولون العرب,مكة المكرمة,High
574,تركيب أنظمة الحريق,2022-08-13,شركة العيوني للاستثمار والمقاولات,تبوك,High
575,تركيب المصاعد,2022-04-24,شركة الفوزان للتجارة والمقاولات,حائل,High
576,بناء جدران القبو,2024-04-21,شركة نسما للمقاولات,الباحة,Low
577,أعمال العزل المائي للسطح,2025-01-05,شركة الخضري للمقاولات,نجران,Low
578,أعمال العزل المائي للسطح,2023-06-30,شركة نسما للمقاولات,عسير,High
579,صب الخرسانة العادية للأساسات,2024-01-18,شركة روشن العقارية,نجران,High
580,أعمال الدهانات الأولية,2023-09-11,شركة أرامكو السعودية (إشراف/تنفيذ),القصيم,Low
581,أعمال اللاندسكيب والتشجير,2023-06-27,شركة دريك آند سكل,جازان,Low
582,تركيب المصاعد,2023-08-26,شركة المباني,عسير,High
583,أعمال المباني (الطوب),2023-01-02,شركة المباني,الحدود الشمالية,Low
584,صب الخرسانة العادية للأساسات,2024-08-01,مؤسسة بن سمار للمقاولات,الرياض,Medium
585,بناء جدران القبو,2024-11-25,شركة شابورجي بالونجي,تبوك,Medium
586,أعمال العزل المائي للسطح,2024-06-09,شركة أرامكو السعودية (إشراف/تنفيذ),المدينة المنورة,Medium
587,صب الخرسانة العادية للأساسات,2024-06-26,مجموعة بن لادن السعودية,جازان,Medium
588,تركيب الواجهات الزجاجية,2023-04-29,شركة روشن العقارية,تبوك,High
589,تركيب البلاط والرخام,2022-01-05,شركة دريك آند سكل,نجران,Medium
590,تركيب الأدوات الصحية,2022-10-12,شركة روشن العقارية,المدينة المنورة,Low
591,صب أعمدة الدور الأرضي,2024-06-17,شركة العيوني للاستثمار والمقاولات,حائل,High
592,أعمال اللاندسكيب والتشجير,2024-05-31,شركة دريك آند سكل,المدينة المنورة,Low
593,أعمال اللاندسكيب والتشجير,2022-11-05,شركة جرير للمقاولات,عسير,Medium
594,أعمال الحفر والردم,2024-12-13,شركة دريك آند سكل,حائل,High
595,تأسيس السباكة والكهرباء,2024-01-11,شركة السيف للمقاولات الهندسية,القصيم,High
596,أعمال اللاندسكيب والتشجير,2022-05-02,مؤسسة بن سمار للمقاولات,الرياض,Medium
597,تركيب أنظمة الحريق,2023-05-16,شركة أرامكو السعودية (إشراف/تنفيذ),الجوف,High
598,تركيب النوافذ والأبواب,2022-02-06,شركة راشد الراشد,مكة المكرمة,High
599,صب الخرسانة العادية للأساسات,2022-10-17,شركة روشن العقارية,مكة المكرمة,Medium
